rank,seed,area,water scale,water coverage,elevation type,farthest_tile_dist,hit_border
67,2161874180,3429020.0000,1,1,2.0,2028.5,0
68,4202926499,3401250.0000,1,1,2.0,1866.9,0
69,2806922228,3393230.0000,1,1,2.0,2174.5,0
70,3343558389,3384530.0000,1,1,2.0,2475.9,0
71,2848351207,3357500.0000,1,1,2.0,1925.1,0
72,3983765975,3338420.0000,1,1,2.0,2039.3,0
73,2469401012,3336830.0000,1,1,2.0,2640.8,0
74,1114138523,3333950.0000,1,1,2.0,2230.2,0
75,3395219433,3298880.0000,1,1,2.0,2437.7,0
76,3912350167,3297630.0000,1,1,2.0,2011.4,0
77,1203090822,3289710.0000,1,1,2.0,2329.2,0
78,1001719993,3284850.0000,1,1,2.0,1857.3,0
79,756017458,3275620.0000,1,1,2.0,1728.0,0
80,853982753,3270000.0000,1,1,2.0,1929.1,0
81,2119532619,3266620.0000,1,1,2.0,2311.3,0
82,2992928785,3260620.0000,1,1,2.0,1555.9,0
83,1859841321,3259740.0000,1,1,2.0,2202.1,0
84,705383555,3230880.0000,1,1,2.0,1889.9,0
85,2661090911,3222020.0000,1,1,2.0,1927.5,0
86,3463238441,3218400.0000,1,1,2.0,1890.8,0
87,2105768962,3216100.0000,1,1,2.0,1926.1,0
88,3847218355,3208720.0000,1,1,2.0,2019.7,0
89,3380768502,3207810.0000,1,1,2.0,2609.4,0
90,1531603905,3201810.0000,1,1,2.0,1892.7,0
91,1277041013,3185840.0000,1,1,2.0,1907.2,0
92,3473705575,3171520.0000,1,1,2.0,1804.0,0
93,3488677650,3132340.0000,1,1,2.0,1915.8,0
94,3498244392,3122420.0000,1,1,2.0,2468.9,0
95,816467432,3118960.0000,1,1,2.0,2229.2,0
96,2417008158,3115070.0000,1,1,2.0,1506.3,0
97,4039546329,3113380.0000,1,1,2.0,1708.4,0
98,3638733289,3112670.0000,1,1,2.0,1852.6,0
99,2192435487,3106370.0000,1,1,2.0,2082.1,0
100,4235643475,3101620.0000,1,1,2.0,2227.5,0
101,4292450388,3097730.0000,1,1,2.0,1899.4,0
102,903262786,3086210.0000,1,1,2.0,2320.5,0
103,1333291411,3076380.0000,1,1,2.0,2005.3,0
104,218016159,3063280.0000,1,1,2.0,2141.1,0
105,3319571528,3045730.0000,1,1,2.0,1853.6,0
106,2709616551,3041230.0000,1,1,2.0,1867.2,0
107,2430548529,3036590.0000,1,1,2.0,1463.4,0
108,3998297210,3036300.0000,1,1,2.0,1852.5,0
109,1831006182,3036140.0000,1,1,2.0,1907.6,0
110,1041134687,3035310.0000,1,1,2.0,2036.0,0
111,3372432775,3026340.0000,1,1,2.0,1833.0,0
112,126487161,3018700.0000,1,1,2.0,2135.3,0
113,2192853030,3018620.0000,1,1,2.0,2070.2,0
114,3522436320,3012660.0000,1,1,2.0,2244.2,0
115,727566026,3007660.0000,1,1,2.0,2520.8,0
116,2947021723,3003410.0000,1,1,2.0,1836.0,0
117,3265527864,2994930.0000,1,1,2.0,1998.4,0
118,1159906668,2992590.0000,1,1,2.0,2989.2,0
119,2469577593,2987570.0000,1,1,2.0,2483.1,0
120,1395589237,2977790.0000,1,1,2.0,2064.0,0
121,474042150,2974800.0000,1,1,2.0,1871.9,0
122,2804863335,2972160.0000,1,1,2.0,1769.2,0
123,3916316895,2968700.0000,1,1,2.0,1770.8,0
124,2372348041,2968220.0000,1,1,2.0,2580.0,0
125,1667749184,2967600.0000,1,1,2.0,2067.9,0
126,1930847696,2964380.0000,1,1,2.0,1525.8,0
127,465633554,2955630.0000,1,1,2.0,1862.0,0
128,3288467035,2948530.0000,1,1,2.0,1838.2,0
129,1960919648,2946670.0000,1,1,2.0,1854.0,0
130,1239315372,2945570.0000,1,1,2.0,2565.6,0
131,2542716566,2943440.0000,1,1,2.0,1780.2,0
132,1019985323,2930130.0000,1,1,2.0,2166.9,0
133,2927696548,2922300.0000,1,1,2.0,2167.6,0
134,2436362521,2916930.0000,1,1,2.0,1992.2,0
135,300338531,2912850.0000,1,1,2.0,2084.3,0
136,2821613875,2909120.0000,1,1,2.0,1982.5,0
137,1853225196,2906500.0000,1,1,2.0,2201.5,0
138,2109273251,2893440.0000,1,1,2.0,1795.9,0
139,3314753466,2886880.0000,1,1,2.0,2016.3,0
140,3392861860,2881010.0000,1,1,2.0,1811.3,0
141,2042316686,2879660.0000,1,1,2.0,1819.4,0
142,1903437873,2850240.0000,1,1,2.0,1734.6,0
143,3591339566,2838610.0000,1,1,2.0,1773.5,0
144,1085931486,2829170.0000,1,1,2.0,1862.4,0
145,3724128994,2827310.0000,1,1,2.0,1458.2,0
146,4070569242,2821410.0000,1,1,2.0,1975.2,0
147,7598754,2819120.0000,1,1,2.0,1999.6,0
148,1719432221,2814590.0000,1,1,2.0,1610.5,0
149,526918488,2812300.0000,1,1,2.0,2056.0,0
150,2494782955,2804980.0000,1,1,2.0,1982.0,0
151,1272837133,2800980.0000,1,1,2.0,2312.0,0
152,3414921297,2784320.0000,1,1,2.0,1915.6,0
153,3752380894,2783340.0000,1,1,2.0,1881.1,0
154,2626388754,2779820.0000,1,1,2.0,1757.4,0
155,956336686,2773570.0000,1,1,2.0,1695.0,0
156,257461468,2769500.0000,1,1,2.0,1900.3,0
157,88368027,2764900.0000,1,1,2.0,1849.9,0
158,2785890441,2760690.0000,1,1,2.0,2128.7,0
159,3726656281,2757070.0000,1,1,2.0,2890.8,0
160,3542611740,2756990.0000,1,1,2.0,2089.0,0
161,1260541187,2753890.0000,1,1,2.0,1521.8,0
162,1435169807,2750690.0000,1,1,2.0,1873.4,0
163,2452844421,2748770.0000,1,1,2.0,1876.0,0
164,1631051140,2748640.0000,1,1,2.0,2236.1,0
165,688128591,2748080.0000,1,1,2.0,1909.0,0
166,2166956470,2745600.0000,1,1,2.0,1732.3,0
167,3439686724,2734190.0000,1,1,2.0,1994.3,0
168,3447346037,2730590.0000,1,1,2.0,1887.4,0
169,3117884153,2729280.0000,1,1,2.0,1719.2,0
170,429548856,2727390.0000,1,1,2.0,2927.4,0
171,2498035668,2725010.0000,1,1,2.0,1748.6,0
172,1027023826,2720050.0000,1,1,2.0,2101.2,0
173,3273862178,2717020.0000,1,1,2.0,1391.0,0
174,1385985611,2715780.0000,1,1,2.0,1548.1,0
175,278042041,2708380.0000,1,1,2.0,1809.2,0
176,1413227263,2702860.0000,1,1,2.0,1674.2,0
177,3619853593,2701810.0000,1,1,2.0,1782.8,0
178,4225376804,2694420.0000,1,1,2.0,2002.0,0
179,1355744294,2693840.0000,1,1,2.0,1469.1,0
180,3713231582,2676220.0000,1,1,2.0,2046.8,0
181,1652686833,2674700.0000,1,1,2.0,1698.8,0
182,549971977,2661200.0000,1,1,2.0,1385.8,0
183,2373573944,2654990.0000,1,1,2.0,1520.4,0
184,3581072197,2649420.0000,1,1,2.0,1970.2,0
185,2817716069,2639550.0000,1,1,2.0,2067.7,0
186,2018436507,2634740.0000,1,1,2.0,1957.6,0
187,97924534,2631150.0000,1,1,2.0,1779.0,0
188,2979104160,2630910.0000,1,1,2.0,1919.6,0
189,2172539449,2610610.0000,1,1,2.0,1871.6,0
190,2820216773,2609140.0000,1,1,2.0,1772.8,0
191,3532471078,2601820.0000,1,1,2.0,1831.0,0
192,3928734691,2584910.0000,1,1,2.0,2184.0,0
193,128581696,2584100.0000,1,1,2.0,2026.5,0
194,3539016686,2577550.0000,1,1,2.0,1723.1,0
195,3468377683,2573490.0000,1,1,2.0,1737.2,0
196,3091128967,2572750.0000,1,1,2.0,1926.6,0
197,47683400,2559470.0000,1,1,2.0,1822.8,0
198,2276042671,2554960.0000,1,1,2.0,1453.8,0
199,2488426672,2551820.0000,1,1,2.0,1904.5,0
200,3897456597,2549950.0000,1,1,2.0,1254.6,0
201,3871587073,2545860.0000,1,1,2.0,1538.4,0
202,2989267933,2533460.0000,1,1,2.0,1762.3,0
203,1694190192,2529650.0000,1,1,2.0,1474.4,0
204,708340861,2528750.0000,1,1,2.0,1966.3,0
205,2793114168,2526270.0000,1,1,2.0,1948.0,0
206,2144950614,2523810.0000,1,1,2.0,1826.8,0
207,1874370598,2516590.0000,1,1,2.0,1893.2,0
208,4000823220,2503280.0000,1,1,2.0,1632.2,0
209,391062524,2494910.0000,1,1,2.0,2112.2,0
210,3650006546,2492400.0000,1,1,2.0,1912.3,0
211,2258915292,2487280.0000,1,1,2.0,2164.7,0
212,2054222148,2471090.0000,1,1,2.0,1836.4,0
213,2802525654,2466700.0000,1,1,2.0,1543.7,0
214,4179815453,2434420.0000,1,1,2.0,1961.6,0
215,1672871482,2419630.0000,1,1,2.0,1833.9,0
216,2687322563,2415360.0000,1,1,2.0,1487.2,0
217,1650026989,2412100.0000,1,1,2.0,1599.8,0
218,236993924,2404430.0000,1,1,2.0,1847.8,0
219,2630742953,2399340.0000,1,1,2.0,1865.5,0
220,1485464741,2397010.0000,1,1,2.0,2224.0,0
221,2328083891,2393170.0000,1,1,2.0,1919.2,0
222,3251326940,2392980.0000,1,1,2.0,1833.1,0
223,4266106146,2380320.0000,1,1,2.0,1943.1,0
224,2298655003,2378640.0000,1,1,2.0,1539.5,0
225,4216722911,2372110.0000,1,1,2.0,1807.1,0
226,3406748521,2371020.0000,1,1,2.0,1801.9,0
227,3935045394,2366900.0000,1,1,2.0,2314.3,0
228,1873872211,2365920.0000,1,1,2.0,1789.9,0
229,107963505,2365520.0000,1,1,2.0,1348.4,0
230,1237145574,2362000.0000,1,1,2.0,1383.2,0
231,172571493,2358300.0000,1,1,2.0,1701.3,0
232,1562396852,2332500.0000,1,1,2.0,1768.4,0
233,1402873206,2328780.0000,1,1,2.0,1763.8,0
234,2489553732,2321150.0000,1,1,2.0,1477.6,0
235,2238566747,2315650.0000,1,1,2.0,1904.0,0
236,2013597665,2314340.0000,1,1,2.0,1688.6,0
237,1457011349,2305780.0000,1,1,2.0,2001.2,0
238,3128767831,2294420.0000,1,1,2.0,1778.8,0
239,983970135,2286720.0000,1,1,2.0,1773.0,0
240,1708643329,2279810.0000,1,1,2.0,1861.8,0
241,135615633,2279010.0000,1,1,2.0,2400.1,0
242,1163017673,2272830.0000,1,1,2.0,1968.1,0
243,1050866097,2261020.0000,1,1,2.0,1658.6,0
244,2474064829,2256800.0000,1,1,2.0,1480.5,0
245,1164698519,2255440.0000,1,1,2.0,2041.4,0
246,1185909812,2252690.0000,1,1,2.0,1352.4,0
247,3678129761,2250800.0000,1,1,2.0,1815.8,0
248,3789285822,2246610.0000,1,1,2.0,1922.7,0
249,4179848966,2246060.0000,1,1,2.0,1618.4,0
250,4186874201,2242640.0000,1,1,2.0,1761.1,0
251,4240207050,2237680.0000,1,1,2.0,1691.8,0
252,2135045542,2236220.0000,1,1,2.0,1400.3,0
253,3123451418,2236140.0000,1,1,2.0,1960.3,0
254,3686117426,2232750.0000,1,1,2.0,1920.7,0
255,873706573,2230460.0000,1,1,2.0,1916.9,0
256,3419738034,2226240.0000,1,1,2.0,1824.4,0
257,1759932798,2204580.0000,1,1,2.0,1612.2,0
258,1783554168,2200270.0000,1,1,2.0,1493.5,0
259,3468220426,2195820.0000,1,1,2.0,1614.5,0
260,424036350,2185520.0000,1,1,2.0,1520.0,0
261,210583092,2184400.0000,1,1,2.0,1840.2,0
262,1551981347,2181150.0000,1,1,2.0,1741.1,0
263,658449048,2170910.0000,1,1,2.0,2125.7,0
264,1839680420,2167660.0000,1,1,2.0,1487.9,0
265,371462834,2163740.0000,1,1,2.0,1523.8,0
266,2318818802,2159780.0000,1,1,2.0,1329.4,0
267,524533170,2156420.0000,1,1,2.0,1534.1,0
268,103446270,2155730.0000,1,1,2.0,1263.7,0
269,1994472770,2153390.0000,1,1,2.0,2163.5,0
270,3038038053,2143540.0000,1,1,2.0,1528.8,0
271,777111962,2136180.0000,1,1,2.0,1655.3,0
272,3274055520,2135550.0000,1,1,2.0,1939.7,0
273,3052080608,2133540.0000,1,1,2.0,1748.7,0
274,411403900,2131520.0000,1,1,2.0,1842.3,0
275,4132207350,2123260.0000,1,1,2.0,1959.0,0
276,2300413824,2101680.0000,1,1,2.0,2604.7,0
277,2153377878,2101230.0000,1,1,2.0,1760.6,0
278,477587834,2090990.0000,1,1,2.0,1388.9,0
279,783918278,2087360.0000,1,1,2.0,1772.0,0
280,4148297353,2075730.0000,1,1,2.0,1866.5,0
281,149900520,2074450.0000,1,1,2.0,1640.8,0
282,3309432687,2070320.0000,1,1,2.0,1877.2,0
283,3100529288,2070080.0000,1,1,2.0,1295.6,0
284,3529132265,2056350.0000,1,1,2.0,1480.3,0
285,337204206,2056290.0000,1,1,2.0,2206.4,0
286,3956603864,2056140.0000,1,1,2.0,1933.0,0
287,1903481878,2054900.0000,1,1,2.0,1928.3,0
288,1344325066,2053550.0000,1,1,2.0,1805.0,0
289,2717176545,2045580.0000,1,1,2.0,1472.8,0
290,3224153991,2041060.0000,1,1,2.0,1990.2,0
291,4201642149,2033090.0000,1,1,2.0,1489.6,0
292,3748131780,2029200.0000,1,1,2.0,1915.0,0
293,2108266093,2024740.0000,1,1,2.0,2269.8,0
294,2560191581,2018530.0000,1,1,2.0,1730.3,0
295,2199734285,2015390.0000,1,1,2.0,2122.4,0
296,1184554232,2015280.0000,1,1,2.0,1489.7,0
297,280669072,2009740.0000,1,1,2.0,1689.8,0
298,2175944419,2005410.0000,1,1,2.0,1633.8,0
299,4267838651,1998160.0000,1,1,2.0,1839.7,0
300,2836872879,1994510.0000,1,1,2.0,1431.0,0
301,3956219642,1992060.0000,1,1,2.0,1820.8,0
302,2332719482,1992020.0000,1,1,2.0,1256.0,0
303,1935773923,1991090.0000,1,1,2.0,1734.5,0
304,2219948584,1982370.0000,1,1,2.0,1586.5,0
305,3402356154,1977550.0000,1,1,2.0,1494.6,0
306,2242269327,1962610.0000,1,1,2.0,1380.2,0
307,700105362,1959340.0000,1,1,2.0,1339.4,0
308,784952464,1958130.0000,1,1,2.0,1846.2,0
309,1116150918,1953300.0000,1,1,2.0,1635.6,0
310,4155415970,1951420.0000,1,1,2.0,1753.6,0
311,1384741203,1940960.0000,1,1,2.0,1733.3,0
312,3416936742,1937820.0000,1,1,2.0,1458.7,0
313,3992200122,1930420.0000,1,1,2.0,2083.9,0
314,1737840962,1929010.0000,1,1,2.0,1740.3,0
315,2804662061,1922320.0000,1,1,2.0,1910.2,0
316,817325694,1916640.0000,1,1,2.0,2016.6,0
317,1596511207,1914210.0000,1,1,2.0,1564.7,0
318,4035807265,1910940.0000,1,1,2.0,1745.0,0
319,2430594499,1909280.0000,1,1,2.0,1608.2,0
320,4040275491,1899650.0000,1,1,2.0,1720.2,0
321,453281519,1899260.0000,1,1,2.0,1804.7,0
322,2478032170,1897740.0000,1,1,2.0,1279.8,0
323,3637111399,1895460.0000,1,1,2.0,1341.2,0
324,2407759670,1892800.0000,1,1,2.0,1892.9,0
325,1063590751,1887010.0000,1,1,2.0,1434.9,0
326,3098258279,1883340.0000,1,1,2.0,1456.0,0
327,1957507216,1869730.0000,1,1,2.0,1707.3,0
328,1049311802,1867260.0000,1,1,2.0,1701.3,0
329,253004083,1865170.0000,1,1,2.0,1565.4,0
330,1320794006,1861980.0000,1,1,2.0,1288.1,0
331,3642062532,1858020.0000,1,1,2.0,1499.6,0
332,2984783503,1856290.0000,1,1,2.0,1292.1,0
333,4239211546,1856110.0000,1,1,2.0,1619.2,0
334,769951152,1853490.0000,1,1,2.0,1231.6,0
335,3695761609,1852610.0000,1,1,2.0,1375.7,0
336,1755106308,1845340.0000,1,1,2.0,1658.3,0
337,113335460,1844850.0000,1,1,2.0,1405.2,0
338,3036989183,1830930.0000,1,1,2.0,1681.5,0
339,761781426,1830060.0000,1,1,2.0,1753.8,0
340,1238558075,1828620.0000,1,1,2.0,1406.8,0
341,1036945493,1820270.0000,1,1,2.0,1250.3,0
342,2686854494,1814320.0000,1,1,2.0,1208.0,0
343,3347908027,1810590.0000,1,1,2.0,1257.0,0
344,3095437423,1808340.0000,1,1,2.0,1411.4,0
345,3593582564,1807600.0000,1,1,2.0,1476.9,0
346,1009674587,1804050.0000,1,1,2.0,1238.4,0
347,3572047920,1798590.0000,1,1,2.0,1769.8,0
348,398582374,1797490.0000,1,1,2.0,1370.5,0
349,1524152851,1796130.0000,1,1,2.0,1372.9,0
350,1339182265,1794620.0000,1,1,2.0,1392.2,0
351,2625423773,1788460.0000,1,1,2.0,1786.1,0
352,3830958820,1784110.0000,1,1,2.0,1691.6,0
353,1878532783,1783550.0000,1,1,2.0,1346.1,0
354,1509194803,1783500.0000,1,1,2.0,1426.9,0
355,2546080866,1783420.0000,1,1,2.0,1357.8,0
356,2103736391,1777980.0000,1,1,2.0,1279.3,0
357,3271263464,1774980.0000,1,1,2.0,1457.9,0
358,3624052492,1774350.0000,1,1,2.0,1714.5,0
359,3732691674,1772830.0000,1,1,2.0,1314.5,0
360,2144229853,1771780.0000,1,1,2.0,1721.2,0
361,7209745,1771150.0000,1,1,2.0,1189.4,0
362,325229195,1768690.0000,1,1,2.0,1777.9,0
363,538025434,1767700.0000,1,1,2.0,1256.4,0
364,4284194547,1745890.0000,1,1,2.0,1404.6,0
365,1078342921,1740860.0000,1,1,2.0,1390.1,0
366,3566739116,1738690.0000,1,1,2.0,1445.7,0
367,4288012066,1738420.0000,1,1,2.0,1402.9,0
368,2687573080,1736640.0000,1,1,2.0,1548.8,0
369,2661569111,1735970.0000,1,1,2.0,1340.1,0
370,3369773789,1735070.0000,1,1,2.0,1343.3,0
371,2155043322,1734540.0000,1,1,2.0,2088.5,0
372,2816622131,1731440.0000,1,1,2.0,1828.6,0
373,155980687,1730930.0000,1,1,2.0,1943.7,0
374,1284006310,1727550.0000,1,1,2.0,1441.7,0
375,2519261335,1727100.0000,1,1,2.0,1348.1,0
376,844772823,1726060.0000,1,1,2.0,1556.3,0
377,3638839290,1724610.0000,1,1,2.0,1374.3,0
378,1661564636,1724560.0000,1,1,2.0,1333.0,0
379,1275912094,1721630.0000,1,1,2.0,1285.8,0
380,1716838306,1718350.0000,1,1,2.0,1222.6,0
381,1749022870,1718140.0000,1,1,2.0,1337.7,0
382,1148887845,1718050.0000,1,1,2.0,1429.0,0
383,1640076516,1715060.0000,1,1,2.0,1288.0,0
384,1838285340,1712510.0000,1,1,2.0,1953.6,0
385,1302085307,1712500.0000,1,1,2.0,1395.3,0
386,1086571220,1710110.0000,1,1,2.0,1613.6,0
387,3797292198,1708700.0000,1,1,2.0,1541.4,0
388,2876064806,1708210.0000,1,1,2.0,1305.3,0
389,669579923,1707780.0000,1,1,2.0,1460.5,0
390,3923845317,1706480.0000,1,1,2.0,1562.8,0
391,393575745,1699760.0000,1,1,2.0,1204.5,0
392,3139671745,1699140.0000,1,1,2.0,1280.8,0
393,1577947235,1697170.0000,1,1,2.0,1503.7,0
394,512544009,1694350.0000,1,1,2.0,1836.3,0
395,3471585539,1693810.0000,1,1,2.0,1475.3,0
396,2548754079,1686320.0000,1,1,2.0,1296.2,0
397,3496503836,1682320.0000,1,1,2.0,1300.0,0
398,2395264397,1681340.0000,1,1,2.0,1499.0,0
399,3437611831,1679870.0000,1,1,2.0,1368.9,0
400,3303142526,1679470.0000,1,1,2.0,1292.8,0
401,1363346647,1672900.0000,1,1,2.0,1825.3,0
402,2576208704,1672260.0000,1,1,2.0,1360.3,0
403,3344499908,1671890.0000,1,1,2.0,1161.3,0
404,1284297103,1666610.0000,1,1,2.0,1699.0,0
405,3147659350,1666340.0000,1,1,2.0,1229.3,0
406,2625449894,1665940.0000,1,1,2.0,1202.7,0
407,313116599,1664080.0000,1,1,2.0,1351.3,0
408,2943485783,1663440.0000,1,1,2.0,1414.5,0
409,817177031,1663280.0000,1,1,2.0,1284.3,0
410,1831100570,1659680.0000,1,1,2.0,1660.1,0
411,3093141221,1656450.0000,1,1,2.0,1618.4,0
412,1778942363,1656430.0000,1,1,2.0,1350.0,0
413,1303214400,1656240.0000,1,1,2.0,1194.0,0
414,2630983047,1654860.0000,1,1,2.0,1288.5,0
415,1441682397,1650370.0000,1,1,2.0,1334.9,0
416,477060986,1649810.0000,1,1,2.0,1918.6,0
417,1869107676,1649680.0000,1,1,2.0,1515.9,0
418,4221370598,1648940.0000,1,1,2.0,1933.3,0
419,2037200072,1648270.0000,1,1,2.0,1363.6,0
420,2182536533,1647490.0000,1,1,2.0,1665.6,0
421,3167689020,1647150.0000,1,1,2.0,1432.5,0
422,4054402480,1646700.0000,1,1,2.0,1656.0,0
423,3270299359,1646380.0000,1,1,2.0,1805.1,0
424,1669317695,1645070.0000,1,1,2.0,1424.5,0
425,3060635914,1644850.0000,1,1,2.0,1443.8,0
426,3834560994,1640270.0000,1,1,2.0,1659.1,0
427,3093213399,1637360.0000,1,1,2.0,1256.3,0
428,1877601652,1636050.0000,1,1,2.0,1343.5,0
429,3498387005,1628940.0000,1,1,2.0,1858.6,0
430,39327426,1628480.0000,1,1,2.0,1220.3,0
431,2945148062,1627950.0000,1,1,2.0,1705.0,0
432,3940687812,1626640.0000,1,1,2.0,1658.3,0
433,3389532881,1623780.0000,1,1,2.0,1263.1,0
434,752532813,1620720.0000,1,1,2.0,1422.5,0
435,2928732264,1616080.0000,1,1,2.0,1752.0,0
436,2929890014,1615840.0000,1,1,2.0,1444.1,0
437,1441686746,1614530.0000,1,1,2.0,1863.6,0
438,637277592,1614290.0000,1,1,2.0,1749.6,0
439,2323071514,1613250.0000,1,1,2.0,1468.9,0
440,1261896805,1608830.0000,1,1,2.0,1366.0,0
441,1068904006,1608210.0000,1,1,2.0,1303.4,0
442,3706221938,1605180.0000,1,1,2.0,1378.8,0
443,3662436181,1597840.0000,1,1,2.0,1463.3,0
444,620888646,1597730.0000,1,1,2.0,1463.8,0
445,2975058873,1593860.0000,1,1,2.0,1354.8,0
446,1579362874,1592210.0000,1,1,2.0,1280.8,0
447,876921029,1591790.0000,1,1,2.0,1540.8,0
448,1482238223,1591300.0000,1,1,2.0,1458.5,0
449,547327366,1591200.0000,1,1,2.0,1437.4,0
450,1294019206,1587900.0000,1,1,2.0,1499.6,0
451,2577859909,1587140.0000,1,1,2.0,1319.3,0
452,1554107183,1586000.0000,1,1,2.0,1192.4,0
453,3174870158,1584080.0000,1,1,2.0,1446.8,0
454,2073429631,1581810.0000,1,1,2.0,1447.5,0
455,1856039589,1579700.0000,1,1,2.0,1625.7,0
456,122294876,1579600.0000,1,1,2.0,1246.2,0
457,2977844153,1577230.0000,1,1,2.0,1352.0,0
458,257720082,1575340.0000,1,1,2.0,1250.8,0
459,385928,1574180.0000,1,1,2.0,1340.8,0
460,96840932,1574100.0000,1,1,2.0,1459.1,0
461,2419405268,1572640.0000,1,1,2.0,1434.4,0
462,2381844913,1571820.0000,1,1,2.0,1330.8,0
463,3700500581,1565760.0000,1,1,2.0,1359.6,0
464,166766695,1565650.0000,1,1,2.0,1734.0,0
465,1509316144,1564180.0000,1,1,2.0,1239.9,0
466,4121556018,1563100.0000,1,1,2.0,1712.2,0
467,811870701,1562270.0000,1,1,2.0,1443.0,0
468,2342325637,1561340.0000,1,1,2.0,1604.4,0
469,2250721540,1559730.0000,1,1,2.0,1217.9,0
470,1232925101,1558670.0000,1,1,2.0,1284.1,0
471,495508737,1557700.0000,1,1,2.0,1780.6,0
472,2396130094,1555140.0000,1,1,2.0,1261.5,0
473,4031738570,1554820.0000,1,1,2.0,1191.4,0
474,2241511775,1551710.0000,1,1,2.0,1327.0,0
475,1896322229,1550640.0000,1,1,2.0,1435.2,0
476,3168982491,1550340.0000,1,1,2.0,1376.8,0
477,3375281399,1549650.0000,1,1,2.0,1820.2,0
478,4116390341,1548860.0000,1,1,2.0,1240.1,0
479,1708071017,1545120.0000,1,1,2.0,1261.7,0
480,2384051747,1543860.0000,1,1,2.0,1238.0,0
481,4205877924,1543390.0000,1,1,2.0,1191.2,0
482,217608902,1543150.0000,1,1,2.0,1176.8,0
483,466407201,1541890.0000,1,1,2.0,1394.6,0
